timestamp,price,market_cap,total_volume
1604059222364,13359.8942690571,247595474344.534,25318388296.6458
1604059433085,13348.8633166652,247595474344.534,25278016872.0509
1604059818465,13307.634971219,246789605587.109,25106560523.7524
1604060059680,13303.2659188473,246789605587.109,25140308143.7073
1604060456586,13309.3708614678,246789605587.109,25106678390.5462
1604060617126,13310.2831089712,246620725513.594,25065563443.0487
1604060987772,13354.2663520955,246620725513.594,25155165832.8995
1604061276052,13346.506517603,247452712615.574,25063968528.0198
1604061598560,13342.0078188715,247225643738.657,24998863391.8833
1604061853861,13307.2227397219,247225643738.657,24977581604.7555
1604062210536,13318.2651986409,246785789347.667,24937616651.1688
1604062436567,13355.7919661003,246785789347.667,25040666650.2948
1604062761444,13349.0571148754,246785789347.667,24934558174.5227
1604063059977,13331.8654726136,247356359706.503,24891658347.5647
1604063364828,13329.2237304352,246988849571.997,24816641445.8781
1604063670771,13293.6858075673,246988849571.997,24823616430.8635
1604064019567,13307.4776283334,246803376552.131,24837235462.8735
1604064206400,13294.439432644,246803376552.131,24826071053.5267
1604064569949,13288.2869638181,246230376133.401,24821036808.3802
1604064823200,13308.7615994778,246230376133.401,24742625637.0488
1604065177665,13275.6771728574,245996797861.526,24733915121.2139
1604065420552,13239.4993076319,245996797861.526,24654817047.5527
1604065780983,13261.0041342882,245724987680.918,24682782124.9599
1604066081805,13252.2305074669,245724987680.918,24645484628.2104
1604066345075,13271.5544410017,245920483735.437,24735319247.732
1604066666283,13269.3623249664,245920483735.437,24683667633.0989
1604066946559,13298.7958795184,246425357767.889,24716077849.0898
1604067223548,13289.5483573164,246425357767.889,24517721931.7699
1604067599862,13284.4152241236,246135758483.837,24544152633.1481
1604067911885,13320.9977885175,246135758483.837,24641697574.919
1604068149835,13313.238041887,246135758483.837,24561031038.2296
1604068440763,13302.4259565505,246693129351.218,24472899607.0023
1604068785710,13331.2204895334,247026342523.651,24290967924.9119
1604069006490,13330.2282810636,247026342523.651,24418606573.5635
1604069384914,13319.6385516385,246811730233.67,24269948283.8919
1604069646233,13321.1897400922,246811730233.67,24268630780.4545
1604069939367,13360.8369671634,247575133247.884,24327808278.2039
1604070297420,13390.3415075114,247575133247.884,24306774364.5262
1604070524365,13446.2338172312,249157529364.718,24376007856.4808
1604070840431,13425.6710046414,249157529364.718,24332892843.1797
1604071212257,13440.2156623061,249046094124.847,24385273843.9729
1604071466202,13443.4279446832,249046094124.847,24409507608.0985
1604071735875,13458.147361754,249046094124.847,24481938463.8237
1604072037128,13462.7270371743,249378542001.134,24478843296.9226
1604072396223,13490.1931908774,249972349003.628,24514463314.32
1604072621059,13492.2199134253,249972349003.628,24547343869.1041
1604073022471,13486.2102873088,249833252407.487,24564851664.0802
1604073293193,13509.8839876677,249833252407.487,24600946921.7914
1604073566231,13521.1432768487,250545933087.98,24648671920.1308
1604073875057,13559.5932757531,250545933087.98,24721796682.7621
1604074246147,13541.5654847565,251327807216.136,24658072032.0418
1604074513594,13522.4866136717,251327807216.136,24639286455.6375
1604074766745,13505.8946574238,250263552707.331,24575723167.8887
1604075109933,13502.6536309985,250263552707.331,24558738763.5059
1604075423946,13519.5124188073,250380917731.716,24514485419.4315
1604075705359,13505.8276755848,250380917731.716,24422194047.9182
1604076031082,13512.0664775816,250186176156.266,24391352241.6175
1604076272880,13519.7043868778,250186176156.266,24408431484.4836
1604076627475,13537.2280377547,250617134476.932,24427941621.9067
1604076869016,13540.0609825079,250617134476.932,24376615552.8984
1604077186090,13517.6625380102,250481773158.152,24342840028.738
1604077382892,13519.9486714302,250481773158.152,24337528794.6967
1604077779395,13557.4841226618,251219746953.431,24291923326.9827
1604078078841,13555.5304811985,251219746953.431,24286320541.8528
1604078387228,13514.8656363665,250430027766.172,24207178309.8105
1604078670636,13506.3516723326,250430027766.172,24204003606.3457
1604079025932,13508.0388934623,250330423597.284,24191933287.0824
1604079300253,13488.3861173059,250330423597.284,24164542408.368
1604079541004,13490.7986867169,249984162394.896,24189176454.0925
1604079886148,13506.6321810688,249984162394.896,24237452352.9149
1604080233106,13497.8632007214,250102646493.667,24178762917.0626
1604080521052,13511.3360763458,250102646493.667,24178231787.0337
1604080806719,13527.121048184,250657458333.003,24198418575.1384
1604080972020,13521.9890439773,250657458333.003,24185326535.1874
1604081418225,13545.3010244954,250660704588.825,24077521017.7153
1604081684122,13540.6644275522,250660704588.825,24050664490.221
1604082002022,13517.987332857,250488210651.928,23975559156.2603
1604082289061,13532.7927935659,250488210651.928,23976053901.7747
1604082617323,13526.5837734546,250647502636.027,23933039338.6678
1604082925121,13512.0772160175,250647502636.027,23907479955.7946
1604083112887,13507.25459921,250289333172.58,23912883510.5528
1604083433564,13508.145216448,250289333172.58,23908080941.6728
1604083703494,13495.4139054211,250069925199.555,23844786855.2296
1604084085125,13519.2047740276,250069925199.555,23896127226.7166
1604084371970,13521.8095400479,250559130777.087,23892092231.412
1604084684516,13527.0183578879,250559130777.087,23825850844.3237
1604085019133,13519.2935398526,250522621352.108,23766806735.1327
1604085289856,13517.9246492063,250522621352.108,23725467334.6541
1604085611895,13501.9413327352,250191215930.528,23686600988.5077
1604085900376,13491.6025755133,250191215930.528,23677950769.3134
1604086225968,13493.8347035919,250016128400.331,23665534117.1537
1604086453817,13482.4297381692,250016128400.331,23628358516.1166
1604086777637,13487.5007056419,249923630850.558,23643780098.3822
1604087088560,13498.8555094109,249923630850.558,23635192905.5898
1604087395495,13501.1830539639,250177259519.528,23587339486.2363
1604087692665,13509.5714254209,250177259519.528,23607121931.7576
1604087977074,13517.181605553,250473794183.526,23474070965.7815
1604088238627,13528.4527685223,250473794183.526,23460669484.2089
1604088543639,13521.3439325916,250550922232.583,23397651789.9949
1604088865065,13510.638907379,250550922232.583,23274352139.3724
1604089226484,13514.5737699845,250432102081.112,23237124167.6439
1604089510486,13517.7860720849,250432102081.112,23189741218.2583
1604089780463,13551.1483939261,251103281131.94,23228270732.4125
